Shanghai,DOW,Y
376.38,1163.790039,5.51
377.05,1171.680054,5.51
377.49,1169.380005,5.53
377.66,1175.930054,5.53
377.31,1182.949951,5.53
377.99,1177.459961,5.53
378.89,1170.209961,5.53
378.69,1166.839966,5.53
378.12,1169.23999,5.53
379.13,1158.199951,5.53
380.77,1157.650024,5.53
381.44,1161.800049,5.53
381.24,1163.189941,5.52
381.01,1155.800049,5.52
381.12,1154.650024,5.52
381.33,1160.969971,5.52
381.47,1137.140015,5.54
381.93,1126.709961,5.53
382.43,1146.609985,5.53
381.65,1155.800049,5.53
382.03,1156.170044,5.53
391.11,1171.550049,5.51
400.61,1190.800049,5.51
406.72,1195.420044,5.51
410.55,1181.839966,5.51
414.42,1178.75,5.51
413.85,1174.819946,5.51
410.06,1185.209961,5.51
399.88,1175.890015,5.51
407.25,1168.540039,5.51
414.4,1170.810059,5.5
424.58,1180.089966,5.5
436.09,1188.589966,5.5
444.16,1180.369995,5.5
445.38,1195.369995,5.49
453.62,1196.02002,5.49
449.21,1201.790039,5.5
449.96,1196.76001,5.5
454.65,1199.579956,5.49
468.11,1205.949951,5.49
491.5,1204.380005,5.49
506.53,1205.599976,5.49
514.04,1192.680054,5.49
523.36,1188.380005,5.49
544.35,1192.890015,5.49
571.82,1198.569946,5.49
598.11,1197.410034,5.49
616.99,1193.089966,5.49
1266.49,1196.390015,5.49
1339.99,1187.699951,5.49
1421.57,1188.810059,5.48
1301.35,1192.369995,5.48
1193.17,1197.089966,5.48
1160.17,1201.109985,5.48
1234.71,1195.630005,5.48
1183.24,1198.699951,5.48
1141.02,1197.73999,5.48
1059.07,1200.550049,5.48
1104.46,1203.27002,5.48
1105.76,1189.01001,5.48
1093.46,1177.26001,5.48
1126.62,1178.319946,5.46
1187.02,1182.930054,5.47
1178.3,1183.390015,5.47
1171.71,1177.670044,5.47
1171.85,1161.540039,5.47
1166.7,1154.949951,5.47
1169.57,1157.609985,5.44
1168.43,1153.719971,5.45
1171.94,1153.160034,5.45
1169.9,1154.290039,5.44
1158.17,1150.050049,5.44
