Shanghai,Shanghai 2,Shanghai 2,Shanghai 2,Shanghai 2,Shanghai 2,Shanghai 2,DOW,DOW,DOW,DOW,DOW,DOW,DOW,Y
133.38,133.99,134.64,135.28,135.96,136.63,135.27,1063.339966,1061.02002,1057.199951,1050.75,1052.930054,1058.02002,1047.560059,5.36
132.8,133.38,133.99,134.64,135.28,135.96,136.63,1061.25,1063.339966,1061.02002,1057.199951,1050.75,1052.930054,1058.02002,5.36
133.14,132.8,133.38,133.99,134.64,135.28,135.96,1058.290039,1061.25,1063.339966,1061.02002,1057.199951,1050.75,1052.930054,5.36
134.47,133.14,132.8,133.38,133.99,134.64,135.28,1072.709961,1058.290039,1061.25,1063.339966,1061.02002,1057.199951,1050.75,5.36
135.81,134.47,133.14,132.8,133.38,133.99,134.64,1072.209961,1072.709961,1058.290039,1061.25,1063.339966,1061.02002,1057.199951,5.36
137.17,135.81,134.47,133.14,132.8,133.38,133.99,1070.430054,1072.209961,1072.709961,1058.290039,1061.25,1063.339966,1061.02002,5.36
136.7,137.17,135.81,134.47,133.14,132.8,133.38,1061.569946,1070.430054,1072.209961,1072.709961,1058.290039,1061.25,1063.339966,5.36
138.07,136.7,137.17,135.81,134.47,133.14,132.8,1056.02002,1061.569946,1070.430054,1072.209961,1072.709961,1058.290039,1061.25,5.36
139.39,138.07,136.7,137.17,135.81,134.47,133.14,1063.569946,1056.02002,1061.569946,1070.430054,1072.209961,1072.709961,1058.290039,5.36
140.68,139.39,138.07,136.7,137.17,135.81,134.47,1062.300049,1063.569946,1056.02002,1061.569946,1070.430054,1072.209961,1072.709961,5.36
140.19,140.68,139.39,138.07,136.7,137.17,135.81,1067.339966,1062.300049,1063.569946,1056.02002,1061.569946,1070.430054,1072.209961,5.36
140.66,140.19,140.68,139.39,138.07,136.7,137.17,1074.75,1067.339966,1062.300049,1063.569946,1056.02002,1061.569946,1070.430054,5.36
141.52,140.66,140.19,140.68,139.39,138.07,136.7,1075.800049,1074.75,1067.339966,1062.300049,1063.569946,1056.02002,1061.569946,5.36
142.39,141.52,140.66,140.19,140.68,139.39,138.07,1075.47998,1075.800049,1074.75,1067.339966,1062.300049,1063.569946,1056.02002,5.36
143.8,142.39,141.52,140.66,140.19,140.68,139.39,1073.439941,1075.47998,1075.800049,1074.75,1067.339966,1062.300049,1063.569946,5.36
145.24,143.8,142.39,141.52,140.66,140.19,140.68,1068.160034,1073.439941,1075.47998,1075.800049,1074.75,1067.339966,1062.300049,5.36
146.68,145.24,143.8,142.39,141.52,140.66,140.19,1079.329956,1068.160034,1073.439941,1075.47998,1075.800049,1074.75,1067.339966,5.36
148.15,146.68,145.24,143.8,142.39,141.52,140.66,1079.329956,1079.329956,1068.160034,1073.439941,1075.47998,1075.800049,1074.75,5.37
149.62,148.15,146.68,145.24,143.8,142.39,141.52,1075.430054,1079.329956,1079.329956,1068.160034,1073.439941,1075.47998,1075.800049,5.38
151.12,149.62,148.15,146.68,145.24,143.8,142.39,1069.469971,1075.430054,1079.329956,1079.329956,1068.160034,1073.439941,1075.47998,5.39
152.61,151.12,149.62,148.15,146.68,145.24,143.8,1070.339966,1069.469971,1075.430054,1079.329956,1079.329956,1068.160034,1073.439941,5.39
154.1,152.61,151.12,149.62,148.15,146.68,145.24,1071.839966,1070.339966,1069.469971,1075.430054,1079.329956,1079.329956,1068.160034,5.39
155.54,154.1,152.61,151.12,149.62,148.15,146.68,1067.380005,1071.839966,1070.339966,1069.469971,1075.430054,1079.329956,1079.329956,5.39
157.07,155.54,154.1,152.61,151.12,149.62,148.15,1066.290039,1067.380005,1071.839966,1070.339966,1069.469971,1075.430054,1079.329956,5.39
158.63,157.07,155.54,154.1,152.61,151.12,149.62,1057.069946,1066.290039,1067.380005,1071.839966,1070.339966,1069.469971,1075.430054,5.39
160.21,158.63,157.07,155.54,154.1,152.61,151.12,1029.719971,1057.069946,1066.290039,1067.380005,1071.839966,1070.339966,1069.469971,5.39
161.6,160.21,158.63,157.07,155.54,154.1,152.61,1032.810059,1029.719971,1057.069946,1066.290039,1067.380005,1071.839966,1070.339966,5.39
163.21,161.6,160.21,158.63,157.07,155.54,154.1,1065.069946,1032.810059,1029.719971,1057.069946,1066.290039,1067.380005,1071.839966,5.39
164.84,163.21,161.6,160.21,158.63,157.07,155.54,1067.160034,1065.069946,1032.810059,1029.719971,1057.069946,1066.290039,1067.380005,5.39
166.49,164.84,163.21,161.6,160.21,158.63,157.07,1080.560059,1067.160034,1065.069946,1032.810059,1029.719971,1057.069946,1066.290039,5.39
168.16,166.49,164.84,163.21,161.6,160.21,158.63,1079.790039,1080.560059,1067.160034,1065.069946,1032.810059,1029.719971,1057.069946,5.39
169.81,168.16,166.49,164.84,163.21,161.6,160.21,1074.75,1079.790039,1080.560059,1067.160034,1065.069946,1032.810059,1029.719971,5.39
171.51,169.81,168.16,166.49,164.84,163.21,161.6,1084.699951,1074.75,1079.790039,1080.560059,1067.160034,1065.069946,1032.810059,5.39
173.19,171.51,169.81,168.16,166.49,164.84,163.21,1083.52002,1084.699951,1074.75,1079.790039,1080.560059,1067.160034,1065.069946,5.38
174.92,173.19,171.51,169.81,168.16,166.49,164.84,1082.060059,1083.52002,1084.699951,1074.75,1079.790039,1080.560059,1067.160034,5.38
176.66,174.92,173.19,171.51,169.81,168.16,166.49,1071.969971,1082.060059,1083.52002,1084.699951,1074.75,1079.790039,1080.560059,5.38
178.43,176.66,174.92,173.19,171.51,169.81,168.16,1068.48999,1071.969971,1082.060059,1083.52002,1084.699951,1074.75,1079.790039,5.38
180.22,178.43,176.66,174.92,173.19,171.51,169.81,1066.109985,1068.48999,1071.969971,1082.060059,1083.52002,1084.699951,1074.75,5.38
181.97,180.22,178.43,176.66,174.92,173.19,171.51,1064.430054,1066.109985,1068.48999,1071.969971,1082.060059,1083.52002,1084.699951,5.39
183.69,181.97,180.22,178.43,176.66,174.92,173.19,1063.300049,1064.430054,1066.109985,1068.48999,1071.969971,1082.060059,1083.52002,5.39
185.51,183.69,181.97,180.22,178.43,176.66,174.92,1055.119995,1063.300049,1064.430054,1066.109985,1068.48999,1071.969971,1082.060059,5.39
187.36,185.51,183.69,181.97,180.22,178.43,176.66,1060.02002,1055.119995,1063.300049,1064.430054,1066.109985,1068.48999,1071.969971,5.39
189.24,187.36,185.51,183.69,181.97,180.22,178.43,1066.660034,1060.02002,1055.119995,1063.300049,1064.430054,1066.109985,1068.48999,5.39
188.33,189.24,187.36,185.51,183.69,181.97,180.22,1061.390015,1066.660034,1060.02002,1055.119995,1063.300049,1064.430054,1066.109985,5.39
187.22,188.33,189.24,187.36,185.51,183.69,181.97,1068.160034,1061.390015,1066.660034,1060.02002,1055.119995,1063.300049,1064.430054,5.39
186.22,187.22,188.33,189.24,187.36,185.51,183.69,1066.160034,1068.160034,1061.390015,1066.660034,1060.02002,1055.119995,1063.300049,5.39
187.79,186.22,187.22,188.33,189.24,187.36,185.51,1067.02002,1066.160034,1068.160034,1061.390015,1066.660034,1060.02002,1055.119995,5.39
189.66,187.79,186.22,187.22,188.33,189.24,187.36,1069.969971,1067.02002,1066.160034,1068.160034,1061.390015,1066.660034,1060.02002,5.39
188.65,189.66,187.79,186.22,187.22,188.33,189.24,1070.609985,1069.969971,1067.02002,1066.160034,1068.160034,1061.390015,1066.660034,5.39
187.63,188.65,189.66,187.79,186.22,187.22,188.33,1067.839966,1070.609985,1069.969971,1067.02002,1066.160034,1068.160034,1061.390015,5.39
